Age Group,Gender,Income Level,Price Sensitivity,Flavor Preferences,Texture Preferences,Mood,Sweet vs Savory,Fav Beverage,Adventurousness,Western vs Eastern
18-24,Female,Medium,Medium,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
55+,Female,Low,Medium,Sugar Cookie,Chewy,relaxed,Medium Sweet Tolerance,Spiced Drink,certainty,Western
35-44,Female,Medium,High,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
18-24,Female,Medium,Low,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
18-24,Male,Medium,Medium,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
Under 18,Female,High,Low,Almond,Chewy,energetic,Low Sweet Tolerance,Tea,certainty,Eastern
45-54,Male,Low,High,Sugar Cookie,Crispy,cozy,Medium Sweet Tolerance,Tea,certainty,Western
35-44,Male,Medium,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Coffee,certainty,Western
18-24,Male,Medium,Medium,Cinnamon,Chewy,cozy,High Sweet Tolerance,Spiced Drink,novelty,Western
18-24,Female,High,High,Almond,Crispy,energetic,Low Sweet Tolerance,Tea,certainty,Eastern
18-24,Female,Medium,Low,White Chocolate,Crispy,relaxed,Medium Sweet Tolerance,Hot Choco,novelty,Eastern
25-34,Female,High,Low,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
25-34,Female,Medium,Low,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
35-44,Female,Medium,High,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
18-24,Female,Medium,High,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
25-34,Male,Medium,High,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Coffee,certainty,Western
45-54,Female,Medium,High,Sugar Cookie,Crispy,relaxed,Medium Sweet Tolerance,Tea,certainty,Western
25-34,Male,Low,Medium,Chocolate Chip,Chewy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
Under 18,Male,Low,High,Matcha,Crispy,relaxed,Medium Sweet Tolerance,Tea,novelty,Eastern
35-44,Female,Medium,Low,Chocolate Chip,Crispy,cozy,High Sweet Tolerance,Hot Choco,certainty,Western
Under 18,Male,Medium,High,Oatmeal,Chewy,energetic,Low Sweet Tolerance,Smoothie,certainty,Western
